Country,Overall score 2024,Ranking 2024
MYANMAR,8.17,1
HAITI,7.92,2
DEMOCRATIC REPUBLIC OF THE CONGO,7.73,3
CHAD,7.60,4
VENEZUELA,7.59,5
LAO PDR,7.53,6
CENTRAL AFRICAN REPUBLIC,7.49,7
GABON,7.48,8
REPUBLIC OF THE CONGO,7.28,9
GUINEA-BISSAU,7.28,10
CHINA,7.27,11
MOZAMBIQUE,7.15,12
LIBERIA,7.11,13
ALGERIA,6.92,14
VIETNAM,6.90,15
KENYA,6.87,16
NIGERIA,6.85,17
NIGER,6.83,18
MALI,6.81,19
MADAGASCAR,6.76,20
CAMBODIA,6.75,21
ANGOLA,6.71,22
TURKMENISTAN,6.71,23
ESWATINI,6.69,24
COMOROS,6.68,25
CAMEROON,6.67,26
SIERRA LEONE,6.49,27
BURKINA FASO,6.48,28
TOGO,6.48,29
TAJIKISTAN,6.45,30
BENIN,6.44,31
GUINEA,6.44,32
COTE D'IVOIRE,6.42,33
NICARAGUA,6.40,34
SOLOMON ISLANDS,6.32,35
MAURITANIA,6.28,36
KUWAIT,6.27,37
UNITED ARAB EMIRATES,6.18,38
THAILAND,6.16,39
SURINAME,6.09,40
TANZANIA,6.08,41
NEPAL,6.01,42
LESOTHO,5.98,43
ZIMBABWE,5.98,44
KYRGYZSTAN,5.95,45
RWANDA,5.94,46
PANAMA,5.90,47
SAUDI ARABIA,5.88,48
PHILIPPINES,5.84,49
LEBANON,5.81,50
UGANDA,5.71,51
SOUTH AFRICA,5.70,52
BELARUS,5.67,53
ETHIOPIA,5.66,54
HONDURAS,5.66,55
TONGA,5.65,56
SAINT KITTS AND NEVIS,5.64,57
TÃœRKIYE,5.63,58
BANGLADESH,5.62,59
GAMBIA,5.56,60
PAKISTAN,5.56,61
QATAR,5.55,62
SENEGAL,5.53,63
BHUTAN,5.51,64
EL SALVADOR,5.51,65
CUBA,5.50,66
MALAYSIA,5.50,67
INDIA,5.49,68
CAPE VERDE,5.45,69
GUATEMALA,5.45,70
MALAWI,5.45,71
BOLIVIA,5.44,72
MEXICO,5.44,73
AZERBAIJAN,5.40,74
BRAZIL,5.36,75
HONG KONG SAR, 5.34,76
CHINA,5.34,76
ZAMBIA,5.34,77
INDONESIA,5.33,78
GHANA,5.28,79
SRI LANKA,5.28,80
UZBEKISTAN,5.27,81
UKRAINE,5.26,82
BAHAMAS,5.21,83
MALTA,5.18,84
BAHRAIN,5.17,85
EGYPT,5.08,86
ECUADOR,5.06,87
HUNGARY,5.06,88
VANUATU,5.05,89
PARAGUAY,5.00,90
BULGARIA,4.99,91
ROMANIA,4.99,92
MONGOLIA,4.98,93
DOMINICAN REPUBLIC,4.96,94
MOROCCO,4.94,95
COLOMBIA,4.92,96
NAMIBIA,4.89,97
SERBIA,4.82,98
CYPRUS,4.81,99
JORDAN,4.81,100
UNITED STATES,4.81,101
ITALY,4.80,102
JAMAICA,4.79,103
JAPAN,4.77,104
PERU,4.77,105
TUNISIA,4.77,106
SEYCHELLES,4.76,107
GRENADA,4.72,108
FIJI,4.71,109
SINGAPORE,4.70,110
KAZAKHSTAN,4.65,111
MOLDOVA,4.65,112
GEORGIA,4.64,113
GERMANY,4.63,114
COSTA RICA,4.61,115
MAURITIUS,4.61,116
BARBADOS,4.58,117
SAMOA,4.56,118
CROATIA,4.53,119
NETHERLANDS,4.52,120
BELGIUM,4.48,121
CANADA,4.47,122
SAINT LUCIA,4.46,123
SWITZERLAND,4.46,124
SOUTH KOREA,4.42,125
SLOVAKIA,4.39,126
BOTSWANA,4.36,127
ALBANIA,4.35,128
ARMENIA,4.35,129
AUSTRIA,4.35,130
POLAND,4.34,131
BRUNEI DARUSSALAM,4.30,132
SPAIN,4.29,133
MACEDONIA,4.24,134
IRELAND,4.23,135
MONTENEGRO,4.23,136
DOMINICA,4.21,137
TRINIDAD AND TOBAGO,4.19,138
LIECHTENSTEIN,4.16,139
UNITED KINGDOM,4.14,140
URUGUAY,4.11,141
ANTIGUA AND BARBUDA,4.10,142
PORTUGAL,4.09,143
CHILE,4.08,144
LATVIA,4.08,145
SAINT VINCENT AND THE GRENADINES,4.07,146
TAIWAN (CHINESE TAIPEI),4.05,147
AUSTRALIA,4.04,148
LUXEMBOURG,3.99,149
ISRAEL,3.97,150
FRANCE,3.86,151
CZECH REPUBLIC,3.85,152
NORWAY,3.76,153
NEW ZEALAND,3.68,154
GREECE,3.66,155
LITHUANIA,3.54,156
SLOVENIA,3.54,157
DENMARK,3.50,158
SWEDEN,3.45,159
ANDORRA,3.29,160
ESTONIA,3.16,161
FINLAND,3.07,162
ICELAND,3.00,163
SAN MARINO,2.96,164